::1 - - [31/Oct/2023:10:52:36 +0000] "OPTIONS /batch HTTP/1.1" 204 0 "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
::1 - - [31/Oct/2023:10:52:36 +0000] "GET /batch HTTP/1.1" 401 90 "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
::1 - - [31/Oct/2023:10:52:49 +0000] "OPTIONS /auth HTTP/1.1" 204 0 "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
::1 - - [31/Oct/2023:10:52:49 +0000] "GET /auth HTTP/1.1" 304 - "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
::1 - - [31/Oct/2023:10:53:04 +0000] "OPTIONS /auth HTTP/1.1" 204 0 "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
::1 - - [31/Oct/2023:10:53:04 +0000] "GET /auth HTTP/1.1" 304 - "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
::1 - - [31/Oct/2023:11:07:57 +0000] "OPTIONS /auth HTTP/1.1" 204 0 "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
::1 - - [31/Oct/2023:11:07:57 +0000] "GET /auth HTTP/1.1" 304 - "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
::1 - - [31/Oct/2023:11:10:04 +0000] "OPTIONS /user HTTP/1.1" 204 0 "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
::1 - - [31/Oct/2023:11:10:04 +0000] "GET /user HTTP/1.1" 404 143 "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
::1 - - [31/Oct/2023:11:10:18 +0000] "OPTIONS /user HTTP/1.1" 204 0 "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
::1 - - [31/Oct/2023:11:10:18 +0000] "GET /user HTTP/1.1" 404 143 "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
::1 - - [31/Oct/2023:11:10:20 +0000] "GET /user HTTP/1.1" 404 143 "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
::1 - - [31/Oct/2023:11:16:58 +0000] "OPTIONS /auth HTTP/1.1" 204 0 "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
::1 - - [31/Oct/2023:11:16:58 +0000] "GET /auth HTTP/1.1" 304 - "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
::1 - - [31/Oct/2023:11:16:58 +0000] "OPTIONS /user HTTP/1.1" 204 0 "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
::1 - - [31/Oct/2023:11:16:58 +0000] "GET /user HTTP/1.1" 404 143 "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
::1 - - [31/Oct/2023:11:17:09 +0000] "OPTIONS /user HTTP/1.1" 204 0 "http://localhost:4200/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
